Vuosi,Kk,Pv,Klo,Aikavyöhyke,Pilvien määrä (1/8),Ilmanpaine (msl) (hPa),Sademäärä (mm),Suhteellinen kosteus (%),Sateen intensiteetti (mm/h),Lumensyvyys (cm),Ilman lämpötila (degC),Kastepistelämpötila (degC),Näkyvyys (m),Tuulen suunta (deg),Puuskanopeus (m/s),Tuulen nopeus (m/s)
2021,1,1,00:00,UTC,7,1010.3,0,100,0,0,0.4,0.3,1700,260,2.6,1.7
2021,1,1,01:00,UTC,8,1010.7,0,100,0,0,0.7,0.7,1270,239,2.5,1.2
2021,1,1,02:00,UTC,7,1010.9,0,99,0,0,1.4,1.3,2600,291,1.9,1
2021,1,1,03:00,UTC,7,1011.1,0,99,0,0,2.4,2.2,5840,171,4.2,2.5
2021,1,1,04:00,UTC,8,1011.1,0,98,0,0,2.8,2.6,6080,187,4.6,2.9
2021,1,1,05:00,UTC,7,1011.1,0,97,0,0,3.1,2.7,7720,189,3.7,2.4
2021,1,1,06:00,UTC,7,1011.4,0,96,0,0,3.4,2.9,9970,192,2.7,1.4
2021,1,1,07:00,UTC,8,1011.7,0,91,0,0,3.5,2.2,21930,238,4.3,2.4
2021,1,1,08:00,UTC,7,1012.2,0,89,0,0,3.6,2,19750,214,4.4,3.2
2021,1,1,09:00,UTC,7,1012.4,0,88,0,0,3.6,1.9,19250,211,4.3,2.9
2021,1,1,10:00,UTC,8,1012.7,0,87,0,0,3.6,1.6,21760,198,4.7,2.5
2021,1,1,11:00,UTC,8,1012.9,0,83,0,0,3.6,1,29170,198,4.9,2.6
2021,1,1,12:00,UTC,8,1012.8,0,85,0,0,3.2,1,33030,186,5.4,3
2021,1,1,13:00,UTC,8,1013,0,85,0,0,3,0.7,32160,175,4.5,2.5
2021,1,1,14:00,UTC,7,1013,0,84,0,,2.7,0.2,37930,183,5.2,3.1
2021,1,1,15:00,UTC,8,1013.1,0,83,0,0,2.6,-0.1,34270,207,5.1,3.4
2021,1,1,16:00,UTC,7,1012.9,0,86,0,0,2.2,0.2,35480,283,3.2,1.8
2021,1,1,17:00,UTC,5,1012.9,0,91,0,0,1,-0.3,24180,351,2.5,1.5
2021,1,1,18:00,UTC,0,1013.1,0,94,0,0,1,0.1,14030,43,3.6,1.7
2021,1,1,19:00,UTC,8,1013,0,93,0,0,1.6,0.6,13400,38,4.5,2.9
2021,1,1,20:00,UTC,8,1013.1,0,92,0,0,1.7,0.5,14190,23,3.5,2.2
2021,1,1,21:00,UTC,7,1012.9,0,93,0,0,1.5,0.4,10350,10,3.4,2.3
2021,1,1,22:00,UTC,3,1013,0,95,0,0,1.1,0.4,7850,2,4.8,2.9
2021,1,1,23:00,UTC,7,1012.9,0,96,0,0,0.8,0.2,7650,6,5.9,3.5
2021,1,2,00:00,UTC,8,1012.8,0,96,0,0,0.8,0.3,13550,26,6.1,3.5
2021,1,2,01:00,UTC,8,1012.9,0,96,0,0,0.8,0.2,17030,3,6,3.5
2021,1,2,02:00,UTC,8,1012.8,0,90,0,0,1,-0.5,44930,23,6.8,3.9
2021,1,2,03:00,UTC,7,1012.7,0,90,0,0,0.8,-0.7,50000,351,5.3,3.3
2021,1,2,04:00,UTC,7,1012.5,0,87,0,0,0.9,-1.1,50000,3,6,3.6
2021,1,2,05:00,UTC,7,1012.4,0,86,0,0,0.9,-1.2,50000,11,6.8,3.8
2021,1,2,06:00,UTC,7,1012.4,0,88,0,0,0.8,-1,50000,348,5,3.2
2021,1,2,07:00,UTC,8,1012.6,0,89,0,0,0.7,-0.8,50000,348,6.1,4.3
2021,1,2,08:00,UTC,7,1012.9,0,87,0,0,0.6,-1.2,38320,354,8.7,4.1
2021,1,2,09:00,UTC,8,1013.1,0,82,0,0,0.5,-2.1,50000,359,5.5,3.5
2021,1,2,10:00,UTC,7,1013.2,0,83,0,0,0.5,-2,35560,335,6.4,4.1
2021,1,2,11:00,UTC,7,1013.2,0,90,0,0,0.1,-1.4,4430,329,7.7,5.2
2021,1,2,12:00,UTC,7,1013.3,0,89,0,0,-0.2,-1.8,6630,333,7.3,4.6
2021,1,2,13:00,UTC,7,1013.6,0.3,92,0.4,0,-0.7,-1.8,1440,328,6.5,4.3
