Vuosi,Kk,Pv,Klo,Aikavyöhyke,Pilvien määrä (1/8),Ilmanpaine (msl) (hPa),Sademäärä (mm),Suhteellinen kosteus (%),Sateen intensiteetti (mm/h),Lumensyvyys (cm),Ilman lämpötila (degC),Kastepistelämpötila (degC),Näkyvyys (m),Tuulen suunta (deg),Puuskanopeus (m/s),Tuulen nopeus (m/s)
2020,1,1,00:00,UTC,0,1011.6,0,85,0,0,-0.2,-2.4,34620,265,4.6,3.2
2020,1,1,01:00,UTC,0,1011.4,0,84,0,0,0.2,-2.2,47810,275,5.6,3.7
2020,1,1,02:00,UTC,0,1011.1,0,83,0,0,0.4,-2.2,42910,284,6.6,4.7
2020,1,1,03:00,UTC,1,1010.8,0,82,0,0,0.7,-2.1,42960,286,6.1,4
2020,1,1,04:00,UTC,1,1010.2,0,82,0,0,0.8,-1.9,50000,263,5.6,3.8
2020,1,1,05:00,UTC,1,1009.9,0,82,0,0,1.2,-1.5,49990,262,6.4,3.7
2020,1,1,06:00,UTC,5,1009.7,0,78,0,0,1.6,-1.9,50000,273,6,3.7
2020,1,1,07:00,UTC,8,1009.6,0,74,0,0,2.2,-1.9,50000,272,5.6,3.4
2020,1,1,08:00,UTC,7,1009.5,0,74,0,0,2.6,-1.5,50000,265,5.5,3.4
2020,1,1,09:00,UTC,7,1009.3,0,73,0,0,3.2,-1.1,50000,254,4.9,3.3
2020,1,1,10:00,UTC,7,1008.6,0,76,0,0,3.1,-0.8,50000,256,5.8,3.6
2020,1,1,11:00,UTC,5,1007.8,0,77,0,0,3.6,0,49210,241,6,3.6
2020,1,1,12:00,UTC,7,1007.8,0,78,0,0,3.9,0.4,50000,258,7,4.3
2020,1,1,13:00,UTC,7,1007.4,0,73,0,0,3.8,-0.5,50000,266,7.7,5.1
2020,1,1,14:00,UTC,5,1007,0,77,0,2,3.3,-0.3,50000,265,8.2,5.4
2020,1,1,15:00,UTC,7,1007,0,76,0,0,3.3,-0.4,50000,273,9.2,5.5
2020,1,1,16:00,UTC,7,1006.9,0,76,0,0,3.3,-0.6,50000,275,8.5,5.7
2020,1,1,17:00,UTC,0,1007,0,78,0,0,2.8,-0.6,50000,261,7.9,5.2
2020,1,1,18:00,UTC,1,1006.4,0,79,0,0,2.7,-0.5,50000,263,9.2,5.9
2020,1,1,19:00,UTC,0,1006.6,0,79,0,0,2.8,-0.5,50000,269,7.2,4.9
2020,1,1,20:00,UTC,0,1005.8,0,80,0,0,2.8,-0.3,50000,256,6.8,4.5
2020,1,1,21:00,UTC,7,1005.2,0,80,0,0,2.9,-0.2,50000,258,7,4.5
2020,1,1,22:00,UTC,3,1004.7,0,78,0,0,3,-0.5,50000,276,6.9,4.2
2020,1,1,23:00,UTC,1,1004,0,80,0,0,2.8,-0.3,50000,260,8.7,5.6
2020,1,2,00:00,UTC,5,1004.6,0,81,0,0,2.7,-0.2,50000,275,7.2,5.3
2020,1,2,01:00,UTC,3,1004,0,81,0,0,2.7,-0.1,50000,262,6.1,4
2020,1,2,02:00,UTC,1,1003.9,0,79,0,0,3,-0.3,50000,269,6,4.1
2020,1,2,03:00,UTC,0,1004.2,0,77,0,0,3.2,-0.5,50000,260,7.7,5.1
2020,1,2,04:00,UTC,0,1004,0,76,0,0,3.2,-0.6,50000,262,7.8,5.1
2020,1,2,05:00,UTC,0,1004.4,0,76,0,0,3.3,-0.5,50000,265,6.4,4.6
2020,1,2,06:00,UTC,1,1004.4,0,76,0,0,3.5,-0.4,45160,269,6.1,4.5
2020,1,2,07:00,UTC,3,1004.5,0,76,0,0,3.6,-0.3,40020,263,6.7,4.5
2020,1,2,08:00,UTC,5,1004.9,0,75,0,0,3.9,-0.1,38760,272,6.1,4.3
2020,1,2,09:00,UTC,0,1005,0,77,0,0,4.1,0.4,34150,251,6.1,4.3
2020,1,2,10:00,UTC,0,1005,0,80,0,0,4.3,1.2,30090,266,4.6,3
2020,1,2,11:00,UTC,0,1004,0,84,0,0,4.6,2.1,25320,232,5.7,3.7
2020,1,2,12:00,UTC,1,1003.8,0,88,0,0,4.6,2.8,21330,235,7.1,4.3
2020,1,2,13:00,UTC,7,1003.9,0,87,0,0,5,3,17430,247,7.5,4.7
2020,1,2,14:00,UTC,3,1002.9,0,88,0,0,4.9,3.2,14340,236,11,5.2
2020,1,2,15:00,UTC,7,1003,0,88,0,0,5.2,3.4,14010,241,12.6,6.7
2020,1,2,16:00,UTC,7,1002.8,0,88,0,0,5.5,3.6,11510,243,11.3,6.7
2020,1,2,17:00,UTC,5,1002.9,0,87,0,0,5.3,3.4,11870,248,10.5,6.2
2020,1,2,18:00,UTC,7,1002.8,0,88,0,0,5.4,3.6,10610,241,10.8,6.7
2020,1,2,19:00,UTC,7,1002.7,0,86,0,0,5.6,3.5,11360,246,11,6.5
2020,1,2,20:00,UTC,7,1002.6,0,86,0,0,5.6,3.5,13930,244,10.5,6.8
2020,1,2,21:00,UTC,7,1001.9,0,86,0,0,5.5,3.4,16290,246,10.9,7.1
2020,1,2,22:00,UTC,7,1001.8,0,84,0,0,5.4,3,17570,252,10.6,6.3
2020,1,2,23:00,UTC,7,1001.5,0,85,0,0,5.4,3,16040,254,10.2,5.8
2020,1,3,00:00,UTC,7,1001.4,0,84,0,0,5.4,2.9,16730,247,13.5,6.9
2020,1,3,01:00,UTC,7,1000.9,0,83,0,0,5.2,2.6,16580,253,13.6,8.3
2020,1,3,02:00,UTC,7,1000.2,0,82,0,0,5.2,2.4,17530,250,9.7,5.8
2020,1,3,03:00,UTC,7,999.3,0,81,0,0,5.2,2.3,15530,249,12.8,7
2020,1,3,04:00,UTC,7,999,0,80,0,0,5.3,2.1,16860,254,14.2,7.4
2020,1,3,05:00,UTC,7,998.2,0,81,0,0,5.2,2.3,15500,246,12.7,7.3
2020,1,3,06:00,UTC,7,997.5,0,81,0,0,5.2,2.2,16850,242,14.1,8.1
2020,1,3,07:00,UTC,7,997.3,0,81,0,0,5.1,2.1,17420,239,19.4,11
2020,1,3,08:00,UTC,7,996.7,0,82,0,0,5.1,2.2,21130,240,16.3,9.1
2020,1,3,09:00,UTC,7,996.5,0,81,0,0,5,2,22230,251,20.7,11.4
